[0.747s][info][gc,task      ] GC(6) Using 4 workers of 4 for evacuation
[0.750s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[0.750s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 1.7ms
[0.750s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.2ms
[0.750s][info][gc,phases    ] GC(6)   Other: 0.3ms
[0.750s][info][gc,heap      ] GC(6) Eden regions: 91->0(91)
[0.750s][info][gc,heap      ] GC(6) Survivor regions: 1->1(12)
[0.750s][info][gc,heap      ] GC(6) Old regions: 0->0
[0.750s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[0.750s][info][gc,metaspace ] GC(6) Metaspace: 4540K->4540K(1056768K)
[0.750s][info][gc           ] GC(6) Pause Young (G1 Evacuation Pause) 91M->0M(154M) 2.631ms
[0.750s][info][gc,cpu       ] GC(6) User=0.00s Sys=0.00s Real=0.00s
[0.806s][info][gc,start     ] GC(7) Pause Young (G1 Evacuation Pause)
[0.806s][info][gc,task      ] GC(7) Using 4 workers of 4 for evacuation
[0.808s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[0.808s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 1.5ms
[0.808s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.1ms
[0.808s][info][gc,phases    ] GC(7)   Other: 0.2ms
[0.808s][info][gc,heap      ] GC(7) Eden regions: 91->0(91)
[0.808s][info][gc,heap      ] GC(7) Survivor regions: 1->1(12)
[0.808s][info][gc,heap      ] GC(7) Old regions: 0->0
[0.808s][info][gc,heap      ] GC(7) Humongous regions: 0->0
[0.808s][info][gc,metaspace ] GC(7) Metaspace: 4540K->4540K(1056768K)
[0.808s][info][gc           ] GC(7) Pause Young (G1 Evacuation Pause) 91M->0M(154M) 1.963ms
[0.808s][info][gc,cpu       ] GC(7) User=0.00s Sys=0.00s Real=0.00s
[0.863s][info][gc,start     ] GC(8) Pause Young (G1 Evacuation Pause)
[0.863s][info][gc,task      ] GC(8) Using 4 workers of 4 for evacuation
[0.866s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[0.867s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 2.0ms
[0.867s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 1.3ms
[0.867s][info][gc,phases    ] GC(8)   Other: 0.3ms
[0.867s][info][gc,heap      ] GC(8) Eden regions: 91->0(110)
[0.867s][info][gc,heap      ] GC(8) Survivor regions: 1->1(12)
[0.867s][info][gc,heap      ] GC(8) Old regions: 0->0
[0.867s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[0.867s][info][gc,metaspace ] GC(8) Metaspace: 4540K->4540K(1056768K)
[0.867s][info][gc           ] GC(8) Pause Young (G1 Evacuation Pause) 91M->0M(185M) 3.802ms
[0.867s][info][gc,cpu       ] GC(8) User=0.00s Sys=0.00s Real=0.00s
[0.942s][info][gc,start     ] GC(9) Pause Young (G1 Evacuation Pause)
[0.943s][info][gc,task      ] GC(9) Using 4 workers of 4 for evacuation
[0.944s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[0.944s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 1.5ms
[0.944s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.1ms
[0.944s][info][gc,phases    ] GC(9)   Other: 0.2ms
[0.944s][info][gc,heap      ] GC(9) Eden regions: 110->0(110)
[0.944s][info][gc,heap      ] GC(9) Survivor regions: 1->1(14)
[0.944s][info][gc,heap      ] GC(9) Old regions: 0->0
[0.944s][info][gc,heap      ] GC(9) Humongous regions: 0->0
[0.944s][info][gc,metaspace ] GC(9) Metaspace: 4540K->4540K(1056768K)
[0.944s][info][gc           ] GC(9) Pause Young (G1 Evacuation Pause) 110M->0M(185M) 1.983ms
[0.944s][info][gc,cpu       ] GC(9) User=0.00s Sys=0.00s Real=0.00s
[1.015s][info][gc,start     ] GC(10) Pause Young (G1 Evacuation Pause)
[1.015s][info][gc,task      ] GC(10) Using 4 workers of 4 for evacuation
[1.017s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[1.017s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 1.9ms
[1.017s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.2ms
[1.017s][info][gc,phases    ] GC(10)   Other: 0.2ms
[1.017s][info][gc,heap      ] GC(10) Eden regions: 110->0(110)
[1.017s][info][gc,heap      ] GC(10) Survivor regions: 1->1(14)
[1.017s][info][gc,heap      ] GC(10) Old regions: 0->0
[1.017s][info][gc,heap      ] GC(10) Humongous regions: 0->0
[1.017s][info][gc,metaspace ] GC(10) Metaspace: 4540K->4540K(1056768K)
[1.018s][info][gc           ] GC(10) Pause Young (G1 Evacuation Pause) 110M->0M(185M) 2.851ms
[1.018s][info][gc,cpu       ] GC(10) User=0.02s Sys=0.00s Real=0.00s
[1.084s][info][gc,start     ] GC(11) Pause Young (G1 Evacuation Pause)
[1.085s][info][gc,task      ] GC(11) Using 4 workers of 4 for evacuation
[1.086s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[1.086s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 1.6ms
[1.086s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.1ms
[1.086s][info][gc,phases    ] GC(11)   Other: 0.1ms
[1.086s][info][gc,heap      ] GC(11) Eden regions: 110->0(110)
[1.086s][info][gc,heap      ] GC(11) Survivor regions: 1->1(14)
[1.086s][info][gc,heap      ] GC(11) Old regions: 0->0
[1.086s][info][gc,heap      ] GC(11) Humongous regions: 0->0
[1.086s][info][gc,metaspace ] GC(11) Metaspace: 4540K->4540K(1056768K)
